device_info_serial,date_time,latitude,longitude,altitude,pressure,temperature,satellites_used,gps_fixtime,positiondop,h_accuracy,v_accuracy,x_speed,y_speed,z_speed,speed_accuracy,location,userflag,speed_3d,speed_2d,direction,altitude_agl
2002,5/13/2013 15:54,52.9193654,5.44079,7,\N,14.9,\N,56.4,7.2,9.1,7.5,-0.07,0,-0.02,1.2,0101000020E6100000889D29745EC315407709F3C3AD754A40,0,0.072801099,0.044037815,8.668409036,9
2002,5/13/2013 16:57,52.9166718,5.4430946,4,\N,19.3,\N,38,2.8,12.7,7.8,3.12,6.53,-3.42,1.18,0101000020E610000006234097BAC515402E15658055754A40,0,8.004479996,7.989952162,129.0541803,4
2002,5/13/2013 17:57,52.9445086,5.4974518,0,\N,20.6,\N,12.7,2.6,12.7,18.4,-0.73,-2.09,-1.74,1,0101000020E61000006858310164FD154037E565A8E5784A40,0,2.81577698,2.03403131,-98.73264711,2
2002,5/13/2013 18:58,52.9444823,5.4973533,8,\N,15.8,\N,41.9,2,7.8,9,-0.37,0.21,-0.29,0.54,0101000020E6100000103BF82E4AFD15404F13C7CBE4784A40,0,0.514878626,0.265336114,67.13125785,10
2002,5/13/2013 19:58,52.9439713,5.4848429,27,\N,13.4,\N,13.5,2.6,8,43.8,-1.27,0,-1.27,1.79,0101000020E61000008CCA3CA87AF015406AEE320DD4784A40,0,1.796051224,0.272153968,26.48945584,28
2002,5/13/2013 20:59,52.9444467,5.4974152,9,\N,12.3,\N,13.8,3.9,23.3,24.8,-2.46,-1.05,-0.65,1.73,0101000020E6100000192202695AFD154056A824A1E3784A40,0,2.752562443,1.831389585,-26.23247493,11
2002,5/13/2013 22:00,52.9444906,5.4973447,-2,\N,10.4,\N,27.2,3.6,5.2,7.7,-0.21,0.01,-0.67,0.63,0101000020E6100000115BD5ED47FD154091306711E5784A40,0,0.702210795,0.239573532,172.7890555,0
2002,5/13/2013 23:00,52.9445367,5.4973695,-2,\N,9.2,\N,10.7,2.1,6.9,9.7,-0.47,0.05,-0.67,0.48,0101000020E61000008A1C226E4EFD1540962F1E94E6784A40,0,0.819939022,0.10077562,109.8365367,0
2002,5/14/2013 0:00,52.9444387,5.4973714,-3,\N,8.1,\N,14.1,4,27,21.2,-1.01,-1.26,-0.98,1.17,0101000020E6100000E9DCA3ED4EFD1540D3C9085EE3784A40,0,1.888941503,1.197756188,-75.09325461,-1
2002,5/14/2013 1:01,52.9445563,5.4974577,15,\N,7,\N,22.4,2.1,4.4,9.5,-0.21,-0.08,-0.35,0.54,0101000020E6100000D292228D65FD15408ADD8838E7784A40,0,0.415932687,0.070594108,-122.5373876,17
2002,5/14/2013 2:02,52.9445771,5.4971625,24,\N,7,\N,38.7,1.9,9.5,8.2,-0.15,0.06,0.02,0.55,0101000020E6100000BE30992A18FD1540778604E7E7784A40,0,0.162788206,0.146707224,30.33423779,26
2002,5/14/2013 3:03,52.9445651,5.4972078,20,\N,6.9,\N,12.3,2.5,15.3,15.5,-0.28,-0.1,-0.81,0.72,0101000020E6100000B243A10A24FD1540B3B85A82E7784A40,0,0.862844134,0.268074461,-164.2609685,22
2002,5/14/2013 4:04,52.9445311,5.4972708,-2,\N,7,\N,39.4,2.2,6.3,6.5,-0.25,-0.07,-0.14,0.48,0101000020E6100000E5057D8E34FD154007472465E6784A40,0,0.294957624,0.128029806,-20.92652755,0
2002,5/14/2013 5:04,52.9431679,5.4856378,3,\N,10,\N,10.1,2.5,14.5,17.7,-0.26,0.24,-0.98,1.05,0101000020E610000039CE12094BF115408991CAB9B9784A40,0,1.041921302,0.481074022,146.7519599,4
2002,5/14/2013 6:06,52.9244947,5.4333586,-2,\N,15.1,\N,13.5,2.2,12.3,8.5,-0.64,-0.14,-0.02,0.7,0101000020E6100000EAC2595BC2BB1540A4E9A2D755764A40,0,0.655438784,0.512928124,-8.833907989,2
2002,5/14/2013 7:08,52.9244736,5.4333652,-1,\N,18,\N,38.7,1.5,3.9,5.2,-0.07,-0.03,-0.16,0.36,0101000020E6100000E3E54416C4BB1540F801A32655764A40,0,0.177200451,0.045049841,-148.9485543,3
2002,5/14/2013 8:08,52.9194145,5.4407478,7,\N,15,\N,9.3,1.7,8.2,9.6,-0.56,-0.19,-0.66,0.49,0101000020E6100000C3222B6453C31540EE7BD45FAF754A40,0,0.886171541,0.149171019,-65.78593443,9
2002,5/14/2013 9:08,52.9193766,5.4407944,5,\N,29.8,\N,7.7,4.2,12.1,13.4,-0.94,-0.84,-0.92,0.8,0101000020E61000002E0A719B5FC3154095DAE621AE754A40,0,1.560640894,0.789530547,-71.1278373,7
2002,5/14/2013 10:09,52.9250057,5.4440548,8,\N,24.1,\N,28,1.9,4.6,8.3,-0.35,-0.33,-0.5,0.44,0101000020E6100000FC862E4DB6C615408A0E379666764A40,0,0.69382995,0.295309647,-89.70193678,9
2002,5/14/2013 11:09,52.9249722,5.4441092,5,\N,15.5,\N,7.6,2.2,9,10,-0.52,-0.54,-1.01,0.76,0101000020E61000003069E78FC4C61540C65A327D65764A40,0,1.257815567,0.512244334,-107.6137535,6
2002,5/14/2013 12:09,52.9238866,5.4424176,10,\N,35.9,\N,10,4.6,35.2,15.9,0.06,0.01,0.07,1.01,0101000020E610000001B38C1E09C51540381B86EA41764A40,0,0.092736185,0.00753289,145.5228436,12
2002,5/14/2013 13:10,52.9239568,5.4424308,-2,\N,25.3,\N,54,2.9,5.8,10,-0.08,-0.07,-0.1,0.64,0101000020E6100000F4F862940CC515405A75673744764A40,0,0.145945195,0.062682471,-82.16151938,0
2002,5/14/2013 14:10,52.9251446,5.4420774,5,\N,25.6,\N,7.8,2,12,13.8,-0.37,-0.61,-0.76,0.59,0101000020E6100000ED331DF0AFC41540178964236B764A40,0,1.042401074,0.584229706,-101.6666625,7
2002,5/14/2013 15:11,52.9242085,5.442503,7,\N,24.4,\N,40,3.5,10.7,17,-0.51,-0.78,-0.27,0.79,0101000020E61000000E87A5811FC51540B517D1764C764A40,0,0.970257698,0.787995029,-67.51887709,8
2002,5/14/2013 16:12,52.9238789,5.4430903,-1,\N,28.8,\N,34.4,2.4,6.1,6.7,-0.12,-0.08,-0.32,0.51,0101000020E610000006B3AE76B9C51540737BEEA941764A40,0,0.350998575,0.114200108,-143.2952601,0
2002,5/14/2013 17:12,52.9238916,5.4431118,3,\N,23.4,\N,11.1,2.6,11.9,19.4,-0.24,-0.41,-2.63,1.33,0101000020E610000003E38519BFC515404986771442764A40,0,2.672564312,1.41731753,-164.221933,4
2002,5/14/2013 18:12,52.9250534,5.4430977,5,\N,18.8,\N,14.5,2.9,13.6,35,-0.21,-0.32,-0.37,1.75,0101000020E610000035BB4967BBC51540DD065A2668764A40,0,0.532353266,0.300351691,-96.12507498,6
2002,5/14/2013 19:13,52.9248496,5.4427304,4,\N,24.7,\N,31.7,2,7.1,10.1,-0.29,0.08,-0.18,0.55,0101000020E6100000AEC7331E5BC51540FEDBC07861764A40,0,0.350570963,0.157738052,42.78628561,5
2002,5/14/2013 20:13,52.9270022,5.4415894,5,\N,20.6,\N,10.3,2,7.4,16.3,-12.12,-4.26,9.16,0.58,0101000020E6100000820AFD0230C41540F7281202A8764A40,0,15.77807339,15.77669628,-11.30025207,7
2002,5/14/2013 21:16,52.9304345,5.4378546,-3,\N,21,\N,42.5,2.3,16.5,7,-0.12,0.33,-0.54,0.72,0101000020E6100000D69CCDF45CC01540F9484A7A18774A40,0,0.644127317,0.424992618,126.8940027,0
2002,5/14/2013 22:17,52.9304836,5.4381485,-3,\N,23.9,\N,11.2,5,15.7,14.3,-0.99,1.16,-0.95,0.82,0101000020E6100000732A1900AAC0154070BB2B161A774A40,0,1.796719232,1.254944654,84.23723555,0
2002,5/14/2013 23:17,52.9305215,5.4379113,0,\N,25.9,\N,28.4,5.2,37.8,23.3,-0.77,0.69,-0.12,2.7,0101000020E61000000432E0D16BC01540C85C19541B774A40,0,1.040865025,0.902593364,57.33799694,3
2002,5/15/2013 0:18,52.9305172,5.4379876,-6,\N,27.1,\N,29.9,2.2,6.9,9.9,-0.29,0.01,-0.85,0.61,0101000020E6100000D03648D27FC01540C82E07301B774A40,0,0.898164796,0.285238273,172.4581094,-3
2002,5/15/2013 1:18,52.9304707,5.4380953,-8,\N,23.4,\N,10.4,2.4,20.4,12.5,-0.49,0.49,-1.12,0.8,0101000020E61000000F20E80D9CC015407031F5A919774A40,0,1.317042141,0.62426354,121.1540305,-5
2002,5/15/2013 2:19,52.9302021,5.4382336,-9,\N,23.4,\N,11.8,4.3,19.3,12.4,0.1,0.4,-1.58,1.03,0101000020E61000008C08104FC0C01540D415C7DC10774A40,0,1.63291151,1.130984189,159.8973764,-6
2002,5/15/2013 3:19,52.9294052,5.4381854,-6,\N,25.6,\N,13.2,3.4,16.3,11.9,-0.93,-3.81,-1.27,1.38,0101000020E6100000B6566AACB3C01540BD5DE5BFF6764A40,0,4.122365826,3.713913576,-85.96626965,-5
2002,5/15/2013 4:20,52.9239001,5.4426728,3,\N,24.2,\N,39.4,3.5,10.6,16.1,-0.18,0,-1.17,0.79,0101000020E6100000A450BB044CC51540B422C55B42764A40,0,1.183765179,0.562660176,178.261191,4
2002,5/15/2013 5:20,52.9255784,5.4425121,6,\N,23.9,\N,10.1,4.6,10.1,24.9,-1.08,-0.78,-1.3,1.15,0101000020E61000004E5656E421C5154027F15E5A79764A40,0,1.861397325,0.687067375,-78.82864839,7
